id,city,name,link,img,address,rating,price,Front desk [24-hour],Kids club,Playground,Kitchen,Swimming pool [indoor],Golf course [on-site],Swimming pool [kids],Hot tub,Jacuzzi,Steamroom,Shared kitchen,Nightclub,Family room,Garden,Massage,Swimming pool [outdoor],Bar,Spa,Golf course (within 3 km),Shops,Sauna,Tennis court,Fitness center,Babysitting service,Restaurants
DaLat0,Da Lat,Ladalat Hotel,https://www.agoda.com/ladalat-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix5.agoda.net/hotelImages/3629832/-1/d98ae374385bd9a24539a6d680c2a16e.jpg?s=1024x768,"106A Mai Anh Dao Street, Ward 8, Dalat City, Lam Dong Province, Vietnam, Love Valley / Dream Hill, Dalat, Vietnam, 0263",8.1,2116086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
DaLat1,Da Lat,Terracotta Hotel and Resort Dalat,"https://www.agoda.com/terracotta-hotel-and-resort-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,7",https://pix6.agoda.net/hotelImages/836781/-1/852214f52b777dedaed114b71be59942.jpg?s=1024x768,"Zone 7.9, Tuyen Lam Lake Tourist Area, Ward 3, Tuyen Lam Lake, Dalat, Vietnam, 84633",8.5,1135065,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
DaLat2,Da Lat,River Prince Hotel,https://www.agoda.com/river-prince-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/237128/-1/49aa95362f7a2d030b9154f739894ca3.jpg?s=1024x768,"135 - 145 Phan Dinh Phung, Dalat City Center, Dalat, Vietnam",7.6,561039,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DaLat3,Da Lat,Hoang Loc Villa Hotel,https://www.agoda.com/hoang-loc-villa-hotel/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/339/339728/339728_15061016210029174240.jpg?s=1024x768,"22/2 Phu Dong Thien Vuong Street, Ward 8, Dalat, Lam Dong, Cam Ly Falls, Dalat, Vietnam",8.5,326727,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat5,Da Lat,Zen Valley Dalat Resort,https://www.agoda.com/zen-valley-dalat-resort/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/782975/-1/0032479de044597e8a43d360ae179290.jpg?s=1024x768,"38 Khe Sanh, Ward 10, Old Train Station, Dalat, Vietnam, 670000",8.5,1291301,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1
DaLat7,Da Lat,Nam Xuan premium Hotel,https://www.agoda.com/nam-xuan-premium-hotel/hotel/dalat-vn.html?asq=u2qcKLxwzRU5NDuxJ0kOF1hHdHn1Z%2FAcMl0P3EmlWyIbulm0%2FxiBJriyiwu3hWTupa551wZJmU1jJ1qPuvPgbHXAPleRNT%2BKzvYUA4TmMFRnUO0JLXHM0VDTESuWXPXmfZjjdruc%2BPPNWljg%2FLBpFXPPWPlZJ3GBRFeYuOTubM9XbBJlPDcezModExOhewivqqNLKBfda4nmEyTBVo%2BWPw%3D%3D&city=15932&tick=637039117364&languageId=1&userId=81b8f41d-936d-4d7b-9c96-407c79be1f71&sessionId=vow1qmcfu5haczlmed300kle&pageTypeId=103&origin=VN&locale=en-US&cid=-1&aid=130243&currencyCode=VND&htmlLanguage=en-us&cultureInfoName=en-US&ckuid=81b8f41d-936d-4d7b-9c96-407c79be1f71&prid=0&checkIn=2019-09-21&checkOut=2019-09-22&rooms=1&adults=2&children=0&priceCur=VND&los=1&textToSearch=Dalat&productType=-1&travellerType=1&familyMode=off,https://pix6.agoda.net/hotelImages/198/1984283/1984283_17020520480050788562.jpg?s=1024x768,"H8 - H9 Nguyen Thi Nghia, Dalat City Center, Dalat, Vietnam, 610000",7.8,329697,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DaLat8,Da Lat,Lacami Dalat Hotel,https://www.agoda.com/lacami-dalat-hotel/hotel/dalat-vn.html?asq=u2qcKLxwzRU5NDuxJ0kOF1hHdHn1Z%2FAcMl0P3EmlWyIbulm0%2FxiBJriyiwu3hWTupa551wZJmU1jJ1qPuvPgbHXAPleRNT%2BKzvYUA4TmMFRnUO0JLXHM0VDTESuWXPXmfZjjdruc%2BPPNWljg%2FLBpFXPPWPlZJ3GBRFeYuOTubM9XbBJlPDcezModExOhewivqqNLKBfda4nmEyTBVo%2BWPw%3D%3D&city=15932&tick=637039117364&languageId=1&userId=81b8f41d-936d-4d7b-9c96-407c79be1f71&sessionId=vow1qmcfu5haczlmed300kle&pageTypeId=103&origin=VN&locale=en-US&cid=-1&aid=130243&currencyCode=VND&htmlLanguage=en-us&cultureInfoName=en-US&ckuid=81b8f41d-936d-4d7b-9c96-407c79be1f71&prid=0&checkIn=2019-09-21&checkOut=2019-09-22&rooms=1&adults=2&children=0&priceCur=VND&los=1&textToSearch=Dalat&productType=-1&travellerType=1&familyMode=off,https://pix5.agoda.net/hotelImages/6421023/-1/f0950ade03f136fc4c6215d44331421a.jpg?s=1024x768,"36/6 Le Van Tam, Ward 10, Dalat City, Lam Dong Province, Old Train Station, Dalat, Vietnam, 66000",9.0,207273,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat9,Da Lat,Tia Du villa,https://www.agoda.com/tia-du-villa/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1,https://pix6.agoda.net/hotelImages/2614680/-1/a3c6748933bc322969e008827ae79f40.jpg?s=1024x768,"60 Dong Da Street, Dalat City Center, Dalat, Vietnam, ̉670000",9.7,259017,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DaLat11,Da Lat,Dalat Edensee Lake Resort & Spa,"https://www.agoda.com/dalat-edensee-lake-resort-spa/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,5,15",https://pix6.agoda.net/hotelImages/267/267272/267272_15083116000035435838.jpg?s=1024x768,"Tuyen Lam Lake - Zone VII.2, Tuyen Lam Lake, Dalat, Vietnam",8.5,3219243,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1
DaLat12,Da Lat,Swiss-Belresort Tuyen Lam Dalat,https://www.agoda.com/swiss-belresort-tuyen-lam-dalat/hotel/dalat-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=9657148f-d4c9-4119-bbb1-15c19c20e1db&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/1134714/-1/6e22df318910396bbc9349b10c99636a.jpg?s=1024x768,"Zone 7&8, Tuyen Lam Lake Tourist Area, Ward 3, Dalat City, Lam Dong Province, Tuyen Lam Lake, Dalat, Vietnam, 61000",8.5,1016860,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1
