id,city,name,link,img,address,rating,price,Poolside bar,Restaurants,Water sports (motorized),Garden,Private beach,Kids club,Bar,Family room,Babysitting service,Tennis court,Swimming pool [outdoor],Shops,Spa,Smoking area,Massage,Front desk [24-hour],Swimming pool [indoor],Sauna,Fitness center,Kitchen,Hot tub
DaNang0,Da Nang,The Blossom Rersort Danang – Onsen & Foot Massage Inclusive,https://www.agoda.com/the-blossom-rersort-danang-onsen-foot-massage-inclusive/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/926594/-1/a9a0d2a4f45bf789d45d5e8e73a51c55.jpg?s=1024x768,"Lo A1-A2, Zone of the Villas of Green Island, Hoa Cuong Bac ward, Hai Chau, Hai Chau, Da Nang, Vietnam",8.7,2289138,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
DaNang1,Da Nang,Halina Hotel and Apartment,"https://www.agoda.com/halina-hotel-and-apartment/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,2",https://pix5.agoda.net/hotelImages/3122052/-1/7fabd5dd57983406454deeaf7d88b5d5.jpg?s=1024x768,"Lot 133.134 Tran Bach Dang Str, Ngu Hanh Son ward, Da Nang, Phuoc My, Da Nang, Vietnam, 59000",8.9,687273,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
DaNang2,Da Nang,Balcona Hotel Da Nang,https://www.agoda.com/balcona-hotel-da-nang/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/4965532/-1/d147e4337eef8c92426991cefa5351eb.jpg?s=1024x768,"288 Vo Nguyen Giap Street, My An Ward, Ngu Hanh Son District, Da Nang City, Phuoc My, Da Nang, Vietnam, 550000",8.8,1542852,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0
DaNang3,Da Nang,Dana Marina Boutique Hotel,https://www.agoda.com/dana-marina-boutique-hotel/hotel/da-nang-vn.html?asq=u2qcKLxwzRU5NDuxJ0kOF3T91go8JoYYMxAgy8FkBH1BN0lGAtYH25sdXoy34qb9Ll%2BdW79RBPTqc%2FD049StxIFzDYzXpCMqWEjA98CewHcNNXcF3b8m3w9RyX0kC3WLffuorKcIqWxsH6JUEoHVutlB5GLJpJoRnckeclAbBbZxcP47HWDCW8h37XlkBeaaXeiGnjAfFj718KJ7a7pyaQ%3D%3D&city=16440&tick=637038160092&txtuuid=589f56d2-e923-47a2-ace9-0820d2863894&languageId=1&userId=a67a5e7f-f2fe-4359-8c05-ad40c3783b20&sessionId=bw2gpjgmmxre1giy0ty11eh3&pageTypeId=1&origin=VN&locale=en-US&cid=-1&aid=130243&currencyCode=VND&htmlLanguage=en-us&cultureInfoName=en-US&ckuid=a67a5e7f-f2fe-4359-8c05-ad40c3783b20&prid=0&checkIn=2019-09-20&checkOut=2019-09-21&rooms=1&adults=2&children=0&priceCur=VND&los=1&textToSearch=Da%20Nang&productType=-1&travellerType=1&familyMode=off,https://pix6.agoda.net/hotelImages/2486094/-1/b5d9b23f063e07ea6f8f7855e9ce2cd2.jpg?s=1024x768,"47- 49 Vo Van Kiet, Phuoc My, Phuoc My, Da Nang, Vietnam, 70000",8.0,576903,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
DaNang4,Da Nang,White Sand Hotel and Apartment,https://www.agoda.com/white-sand-hotel-and-apartment/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/1713002/-1/0bc83d8dd3918f4d6f0c0854e31297a3.jpg?s=1024x768,"89 - 91 Vo Van Kiet St, Phuoc My Ward, Son Tra District, Da Nang City , Viet nam, Phuoc My, Da Nang, Vietnam, 550000",8.5,722813,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
DaNang5,Da Nang,Danang Golden Bay,https://www.agoda.com/danang-golden-bay_3/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/3471357/-1/89b3af488d0b5cc4d386762dc1c712e2.jpg?s=1024x768,"01 Le Van Duyet, Phuoc My, Da Nang, Vietnam, 59000",8.7,2240657,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
DaNang6,Da Nang,Centre Hotel,"https://www.agoda.com/centre-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=8,2",https://pix5.agoda.net/hotelImages/1214913/-1/6fad3be145071efea5acb2ff74fe3aa7.jpg?s=1024x768,"18-20 Pham Phu Thu, Hai Chau, Da Nang, Vietnam, 550000",8.5,495393,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang7,Da Nang,Condotel Babylon Garden,https://www.agoda.com/condotel-babylon-garden_2/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/2627359/-1/eccf802b1c99a77e763de83fcd457781.jpg?s=1024x768,"30 Ha Bong, Phuoc My, Son Tra, Da Nang, Phuoc My, Da Nang, Vietnam, 50408",8.8,860870,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
DaNang8,Da Nang,De Lamour Beach Hotel,https://www.agoda.com/de-lamour-hotel/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/5727559/-1/6442ded881678b2f841ee84a30236000.jpg?s=1024x768,"46 Vo Nguyen Giap, Phuoc My, Da Nang, Vietnam, 590000",8.4,498701,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
DaNang9,Da Nang,Emily and Apartment,https://www.agoda.com/emily-and-apartment/hotel/da-nang-vn.html?checkin=2019-09-20&los=1&adults=2&rooms=1&cid=-1&searchrequestid=a22e6198-a6fd-4c3b-a605-99d72ec4c46f&travellerType=1,https://pix5.agoda.net/hotelImages/1060489/-1/d9e365da9d4e3862babe0704b8cd35b1.jpg?s=1024x768,"Lot 40-42, An Thuong 1, My An Ward, Phuoc My, Da Nang, Vietnam",8.6,562244,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
