id,city,name,link,img,address,rating,price,Babysitting service,Kitchen,Shops,Massage,Swimming pool [indoor],Golf course [on-site],Family room,Table tennis,Restaurants,Playground,Garden,Sauna,Fitness center,Kids club,Poolside bar,Swimming pool [outdoor],Casino,Front desk [24-hour],Nightclub,Steamroom,Smoking area,Bar,Hot spring bath,Tennis court,Hot tub,Spa,Shared kitchen
HaNoi0,Ha Noi,Hanoi Gratitude Hotel,"https://www.agoda.com/hanoi-gratitude-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,7",https://pix5.agoda.net/hotelImages/97253/-1/bd7615226844d374616f548c6ad9ef6a.jpg?s=1024x768,"106 Hang Bong, Hoan Kiem District, Hanoi, Vietnam",8.6,1698991,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HaNoi1,Ha Noi,S Central Hotel,https://www.agoda.com/s-central-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/5825677/-1/0229340e34b115559f912045826155b9.jpg?s=1024x768,"No. 18 Tho Xuong lane, Hoan Kiem dist., Hoan Kiem District, Hanoi, Vietnam, 10000",8.9,1369720,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi2,Ha Noi,Helios Legend Hotel,https://www.agoda.com/helios-legend-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/1414661/-1/254f306701125280afcfdd1ae599fa6e.jpg?s=1024x768,"No. 2D Duong Thanh Street - Hoan Kiem District, Old Quarter, Hanoi, Vietnam, 100000",7.8,865801,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi3,Ha Noi,Blue Hanoi INN- Legend Hotel,https://www.agoda.com/blue-hanoi-inn-legend-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/227/2277548/2277548_17052610460053246828.jpg?s=1024x768,"19 Nguyen Thuong Hien Nguyen Du Hai Ba Trung Ha Noi Viet nam, Hai Ba Trung District, Hanoi, Vietnam",8.5,558171,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi5,Ha Noi,Eternity Hanoi Hotel,https://www.agoda.com/eternity-hanoi-hotel/hotel/hanoi-vn.html?asq=u2qcKLxwzRU5NDuxJ0kOF9KnDlGcy1O%2FCb7nhCRHqBCMPtLCffVIBeoY%2BiY7%2FW0ClmquAKG0EKEiDXgtKYyo0sZwrbl%2FCPjG%2FPFaenrWETU%2FQwUx5zYVkRT9V1SRqIuHQ3fvaxx%2FvSQPmnWDs2AUwbBs9eGBEoCHw6eVC1%2BXloiacY%2FwPspU3wBrNaiQo5vZILskCsWCMh5w6GSWyARLrQ%3D%3D&city=2758&tick=637039116966&languageId=1&userId=81b8f41d-936d-4d7b-9c96-407c79be1f71&sessionId=vow1qmcfu5haczlmed300kle&pageTypeId=103&origin=VN&locale=en-US&cid=-1&aid=130243&currencyCode=VND&htmlLanguage=en-us&cultureInfoName=en-US&ckuid=81b8f41d-936d-4d7b-9c96-407c79be1f71&prid=0&checkIn=2019-09-21&checkOut=2019-09-22&rooms=1&adults=2&children=0&priceCur=VND&los=1&textToSearch=Hanoi&productType=-1&travellerType=1&familyMode=off,https://pix6.agoda.net/hotelImages/216205/-1/a480b6c053c356dd71236ae2bc436216.jpg?s=1024x768,"32 Yet Kieu, Hoan Kiem District, Hanoi, Vietnam, 70000",7.8,557143,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi7,Ha Noi,Flower Garden Hotel,https://www.agoda.com/flower-garden-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=4,https://pix6.agoda.net/hotelImages/186778/-1/a53853a734851f327df7a20d7b6f8320.jpg?s=1024x768,"No 46, Nguyen Truong To Street, Ba Dinh, Ha Noi, Ba Dinh District, Hanoi, Vietnam",8.2,894565,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi8,Ha Noi,Baoson International Hotel,https://www.agoda.com/baoson-international-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/520/52045/52045_16091409550046427761.jpg?s=1024x768,"50 Nguyen Chi Thanh, Dong Da District, Hanoi, Vietnam,",7.5,1265836,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HaNoi9,Ha Noi,Grand Plaza Hanoi Hotel,"https://www.agoda.com/grand-plaza-hanoi-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,5,15",https://pix6.agoda.net/hotelImages/247355/-1/4f08fc395443b02b905e47d5d859c108.jpg?s=1024x768,"117 Tran Duy Hung, Cau Giay District, Cau Giay District, Hanoi, Vietnam",8.2,1990909,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
HaNoi10,Ha Noi,Kuretake Inn Kim Ma 132 Hotel,https://www.agoda.com/kuretake-inn-kim-ma-132-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/7545252/0/58b30d3c8a43417f0baad43dff847b79.jpg?s=1024x768,"132 - 138 Kim Ma, Ba Dinh District, Hanoi, Vietnam",7.8,1242857,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
HaNoi11,Ha Noi,West Lake Home Hotel & Spa,https://www.agoda.com/west-lake-home-hotel-spa/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/162/1621445/1621445_16110916450048576819.jpg?s=1024x768,"156 Yen Phu, Tay Ho District, Hanoi, Vietnam, 10000",8.0,611150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
HaNoi12,Ha Noi,Lotte Hotel Hanoi,https://www.agoda.com/lotte-hotel-hanoi/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/665/665815/665815_15080318200033559670.jpg?s=1024x768,"No. 54 Lieu Giai Street,, Ba Dinh District, Hanoi, Vietnam, 10000",9.2,2749500,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
HaNoi13,Ha Noi,Silk Path Hotel,https://www.agoda.com/silk-path-hotel/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1,https://pix5.agoda.net/hotelImages/178/178091/178091_17031423540051548141.jpg?s=1024x768,"195-199 Hang Bong, Hoan Kiem District, Hanoi, Vietnam, 10000",8.5,2391775,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
HaNoi14,Ha Noi,My Hotel Hoang Cau,https://www.agoda.com/my-hotel-hoang-cau/hotel/hanoi-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=0cb6f696-fb13-425e-86e1-249cea45b879&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/534/5348424/5348424_18070912130066741281.jpg?s=1024x768,"No 05, alley 34/68, Hoang Cau street, Dong Da District, Hanoi, Vietnam, 100000",8.4,478261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
