id,city,name,link,img,address,rating,price,Swimming pool [indoor],Sauna,Golf course [on-site],Garden,Tennis court,Massage,Shared kitchen,Smoking area,Swimming pool [outdoor],Shops,Kids club,Badminton court,Poolside bar,Front desk [24-hour],Restaurants,Fitness center,Playground,Family room,Bar,Kitchen,Golf course (within 3 km),Spa
HoChiMinh0,Ho Chi Minh,M Boutique Hotel,https://www.agoda.com/m-boutique-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/1009828/-1/925c0a1a7ec74647cf3afbfa81505fdf.jpg?s=1024x768,"7A Thai Van Lung Street, District 1, Ho Chi Minh City, Vietnam, 70000",8.3,1678571,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh1,Ho Chi Minh,Alagon D'antique Hotel & Spa,https://www.agoda.com/alagon-d-antique-hotel-spa/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/1178593/-1/30c924bee3f166cd227baeed1a5858a8.jpg?s=1024x768,"301-303 Ly Tu Trong St, Ben Thanh Ward, District 1, Ho Chi Minh City, Vietnam",8.7,1712381,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
HoChiMinh2,Ho Chi Minh,Chill Box,"https://www.agoda.com/chill-box/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,6",https://pix6.agoda.net/hotelImages/2100001/-1/4ac6b0a8eeb4ef8110846f9aa0b5c95f.jpg?s=1024x768,"212A/A61 Nguyen Trai street, Nguyen Cu Trinh ward, District 1., District 1, Ho Chi Minh City, Vietnam, 70000",8.4,1264599,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
HoChiMinh3,Ho Chi Minh,The White Hotel 1,"https://www.agoda.com/the-white-hotel-1/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,9",https://pix6.agoda.net/hotelImages/222/222984/222984_15111911420037860474.jpg?s=1024x768,"255 - 257 Le Thanh Ton, District 1, Ho Chi Minh City, Vietnam",7.1,939394,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh4,Ho Chi Minh,DDA Hotel District 1,https://www.agoda.com/dda-hotel-district-1/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/406/406830/406830_16122101160049831406.jpg?s=1024x768,"183 De Tham, District 1, Ho Chi Minh City, Vietnam, 70000",7.7,336960,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh5,Ho Chi Minh,City View Hotel,https://www.agoda.com/city-view-hotel_3/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,https://pix5.agoda.net/hotelImages/164684/-1/60dd980d95147961a11913f60b308005.jpg?s=1024x768,"15 Bui Thi Xuan Street, Ben Thanh Ward, District 1, District 1, Ho Chi Minh City, Vietnam",7.6,633117,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh6,Ho Chi Minh,Good Vibes Central Hotel,https://www.agoda.com/good-vibes-central-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/2430182/-1/a82154f70124d973fb32feb216975a69.jpg?s=1024x768,"277 Le Thanh Ton Street, District 1, Ho Chi Minh City, Vietnam, 70000",7.7,700519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh7,Ho Chi Minh,LOTUS BOUTIQUE HOTEL,https://www.agoda.com/lotus-boutique-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/3036376/-1/69181fd39045540f20d11099a3b28d42.jpg?s=1024x768,"55/29-31-33 Le Thi Hong Gam, Dist 01, District 1, Ho Chi Minh City, Vietnam, 028",8.3,854545,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
HoChiMinh8,Ho Chi Minh,AHA Boutique Hotel,"https://www.agoda.com/aha-boutique-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,9",https://pix5.agoda.net/hotelImages/222/2222998/2222998_17050609480052813921.jpg?s=1024x768,"24-26-28 Bui Vien St, District 1, Ho Chi Minh City, District 1, Ho Chi Minh City, Vietnam, 70000",7.2,483332,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
HoChiMinh9,Ho Chi Minh,Queen Central Apartment-Hotel,https://www.agoda.com/queen-central-apartment-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/283/283741/283741_16091917050046621082.jpg?s=1024x768,"10AB Thai Van Lung St, Ben Nghe Ward, dist 1, Hcm city, District 1, Ho Chi Minh City, Vietnam, 70000",7.1,467472,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
HoChiMinh10,Ho Chi Minh,Riverside Hotel Saigon,https://www.agoda.com/riverside-hotel-saigon/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/10990/-1/a441530027772b1ae030d3599e435b4d.jpg?s=1024x768,"18-19-20 Ton Duc Thang Street, District 1, Ho Chi Minh City, Vietnam",7.3,729350,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh11,Ho Chi Minh,Hotel De Charme Saigon - Former Asian Ruby Luxury Hotel,https://www.agoda.com/hotel-de-charme-saigon-former-asian-ruby-luxury-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/148680/-1/1d7f7ce7d7fb8ef61cc7a504803df83b.jpg?s=1024x768,"26 Thi Sach Street, Ben Nghe Ward, Distrist 1( Japanese Area), District 1, Ho Chi Minh City, Vietnam, 70000",8.6,914716,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh12,Ho Chi Minh,Saga Hotel,https://www.agoda.com/saga-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix5.agoda.net/hotelImages/652/652210/652210_16051316560042312163.jpg?s=1024x768,"40 - 42 Hai Ba Trung, Ben Nghe Ward, District 1, Ho Chi Minh City, Vietnam, 70000",7.1,458182,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
HoChiMinh13,Ho Chi Minh,Ipeace Hotel,https://www.agoda.com/ipeace-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=2,https://pix6.agoda.net/hotelImages/230409/-1/f9bd4492cfc4674f6713c842fbb3f498.jpg?s=1024x768,"175/8 Pham Ngu Lao, District 1, District 1, Ho Chi Minh City, Vietnam",7.8,355455,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh14,Ho Chi Minh,Bloom Saigon Hotel,https://www.agoda.com/bloom-saigon-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/996/996127/996127_16041910440041605556.jpg?s=1024x768,"27- 29 Truong Dinh St, Ben Thanh Ward., District 1, Ho Chi Minh City, Vietnam",8.1,778422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
HoChiMinh15,Ho Chi Minh,Dyn Opera Hotel,https://www.agoda.com/dyn-opera-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/5491341/-1/4eb1187f481803bff2a25e9cf06ea62d.jpg?s=1024x768,"18 Cao Ba Quat, District 1, Ho Chi Minh City, Vietnam, 70000",8.3,1085700,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh16,Ho Chi Minh,Ambassador Saigon Hotel,https://www.agoda.com/ambassador-saigon-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=7,https://pix6.agoda.net/hotelImages/173625/-1/b26d800955370c3f6e86bbc16a387dbd.jpg?s=1024x768,"84A Bui Thi Xuan Street, District 1, Ho Chi Minh City, Vietnam",7.6,800865,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh18,Ho Chi Minh,Lavender Boutique Hotel,https://www.agoda.com/lavender-boutique-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/847/847928/847928_17041114330052311372.jpg?s=1024x768,"200-210 Ly Tu Trong St., Ben Thanh Ward, District 1, Ho Chi Minh City, Vietnam",7.9,1206000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh19,Ho Chi Minh,Greenwood Villa Saigon,https://www.agoda.com/greenwood-villa-saigon_2/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=1,https://pix5.agoda.net/hotelImages/596/5968379/5968379_18111214160069648077.jpg?s=1024x768,"No.4 Street Number 36, Binh An Ward, Dist 2, District 2, Ho Chi Minh City, Vietnam",9.1,730227,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
HoChiMinh20,Ho Chi Minh,Cosmopolitan Hotel Saigon,https://www.agoda.com/cosmopolitan-hotel-saigon/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/6501141/0/0c8c55cb9fb2ef15a931804e27f8ecc0.jpg?s=1024x768,"191 Nam Ky Khoi Nghia, District 3, Ho Chi Minh City, Vietnam, 70000",7.9,822511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
HoChiMinh21,Ho Chi Minh,White Lotus Hotel,https://www.agoda.com/white-lotus-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix5.agoda.net/hotelImages/280618/-1/7e364e067a353bc0c1f65de63a9902ee.jpg?s=1024x768,"6A Thi Sach Street, District 1, Ho Chi Minh City, Vietnam, 700000",7.6,772622,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh22,Ho Chi Minh,9 Hostel and Bar,https://www.agoda.com/9-hostel-and-bar/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=1,https://pix5.agoda.net/hotelImages/497/4972275/4972275_18051616000065477071.jpg?s=1024x768,"9 Bui Thi Xuan, District 1, Ho Chi Minh City, Vietnam",8.7,98701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh23,Ho Chi Minh,Cupid 2 Hotel,https://www.agoda.com/cupid-2-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=1,https://pix5.agoda.net/hotelImages/6881876/-1/e55949d40ea3c79986d625bcc2492f4c.jpg?s=1024x768,"52/25-52/27 Cu Lao, Ward 2, Phu Nhuan, Ho Chi Minh City, Vietnam, 72210",8.6,909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh24,Ho Chi Minh,A&Em Signature Hotel,https://www.agoda.com/a-em-signature-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/163/1632788/1632788_17051816050053072352.jpg?s=1024x768,"52-54 Thu Khoa Huan Street, Ben Thanh Ward, District 1, Ho Chi Minh City, District 1, Ho Chi Minh City, Vietnam, 70000",7.7,2563636,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1
HoChiMinh25,Ho Chi Minh,Athena Hotel,https://www.agoda.com/athena-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=4,https://pix5.agoda.net/hotelImages/770/770136/770136_15073117510033448195.jpg?s=1024x768,"280 To Hien Thanh St. Ward 15,District 10, District 10, Ho Chi Minh City, Vietnam",8.0,1300675,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
HoChiMinh26,Ho Chi Minh,RedDoorz Plus near Tan Dinh Market 2,https://www.agoda.com/reddoorz-plus-near-tan-dinh-market-2/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/714/7147656/7147656_19043009510074145410.jpg?s=1024x768,"37/4 Dinh Cong Trang, District 1, Ho Chi Minh City, Vietnam, 700000",8.5,514286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh27,Ho Chi Minh,Anh Ngoc Hotel,https://www.agoda.com/anh-ngoc-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/517/517496/517496_14070921450020211288.jpg?s=1024x768,"9/4-6 Hoang Du Khuong Street, Ward 12, District 10, Ho Chi Minh City, Vietnam, 70000",6.7,369697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh28,Ho Chi Minh,RedDoorz near Bau Cat Residence,https://www.agoda.com/reddoorz-near-bau-cat-residence/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/582/5823525/5823525_18092515440068149880.jpg?s=1024x768,"83/28 Vuon Lai Street, Tan Phu District, Tan Phu, Ho Chi Minh City, Vietnam, 70000",7.7,291429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh29,Ho Chi Minh,TOKI SAI GON RESORT & SPA,https://www.agoda.com/toki-sai-gon-resort-spa_2/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/6941292/-1/2404453a5a7375ce9ae1a5160ad65b3f.jpg?s=1024x768,"112 Vo Thi Lieu, District 12, Ho Chi Minh City, Vietnam, 715",7.4,1622880,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh30,Ho Chi Minh,Blue River 2 Hotel,https://www.agoda.com/blue-river-2-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix5.agoda.net/hotelImages/295/295366/295366_15061614070029641027.jpg?s=1024x768,"54/13 Ki Con, Dist 1, District 1, Ho Chi Minh City, Vietnam",7.0,230303,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh31,Ho Chi Minh,Ha My Hotel,https://www.agoda.com/ha-my-hotel_5/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/499/4998683/4998683_18062016560066315818.jpg?s=1024x768,"32 street 6, Linh Trung ward, Thu Duc district , Ho Chi Minh city, Vietnam, Thu Duc, Ho Chi Minh City, Vietnam, 700000",7.7,318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh32,Ho Chi Minh,LE SAIGON HOTEL,https://www.agoda.com/le-saigon-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=2,https://pix5.agoda.net/hotelImages/4266754/-1/14de509177582a4682137df3e5a33223.jpg?s=1024x768,"17 Dong Da Street, Ward 2, Tan Binh, Ho Chi Minh City, Vietnam",8.4,681545,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh33,Ho Chi Minh,Ha Long Hotel,https://www.agoda.com/ha-long-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://q-xx.bstatic.com/xdata/images/hotel/840x460/77338334.jpg?k=1fb77f7d906700b7d0cd13bd5ed39771ede674c6e0ec80075dd067c46ea7e93d&o=,"76/2K Le Van Chi, Linh Trung Ward, Thu Duc District, Thu Duc, Ho Chi Minh City, Vietnam",6.3,318182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HoChiMinh34,Ho Chi Minh,Thien Thao Hotel,https://www.agoda.com/thien-thao-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/159/159176/159176_15033100000026603831.jpg?s=1024x768,"89 Cao Thang Street, Ward 3, District 3, District 3, Ho Chi Minh City, Vietnam",7.9,545824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
HoChiMinh35,Ho Chi Minh,Beautiful Saigon Boutique Hotel,https://www.agoda.com/beautiful-saigon-boutique-hotel/hotel/ho-chi-minh-city-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=7ea67f1d-6ab2-44f3-9fd7-07f3a5e2de62&travellerType=1,https://pix6.agoda.net/hotelImages/281/281840/281840_15100516490036651412.jpg?s=1024x768,"40/13-17-19-21 Bui Vien Street, District 01, District 1, Ho Chi Minh City, Vietnam",8.4,868890,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
