id,city,name,link,img,address,rating,price,Swimming pool [kids],Nightclub,Spa,Restaurants,Hot tub,Steamroom,Front desk [24-hour],Family room,Babysitting service,Garden,Bar,Kids club,Shops,Kitchen,Poolside bar,Swimming pool [outdoor],Mini golf course,Fitness center,Tennis court,Massage,Sauna,Golf course [on-site],Swimming pool [indoor],Private beach
NhaTrang0,Nha Trang,The Anam,https://www.agoda.com/the-anam_4/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/1346876/-1/099b216695fc3a500793bfe4d4cb72a2.jpg?s=1024x768,"Nguyen Tat Thanh Boulevard, Cam Ranh, Cam Hai Dong, Nha Trang, Vietnam",8.8,4634200,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1
NhaTrang1,Nha Trang,Imperial Nha Trang Hotel,https://www.agoda.com/imperial-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/4972782/-1/67947bc250ea17dc5c8453808fdff083.jpg?s=1024x768,"20 Tran Phu Street, Vinh Nguyen Ward, Vinh Truong, Nha Trang, Vietnam",8.8,887532,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
NhaTrang2,Nha Trang,The Costa Serviced Apartment By SeaHoliday,https://www.agoda.com/the-costa-serviced-apartment-by-seaholiday/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/5678473/-1/819c65d86d2cef05c63f8b8b7adbc62b.jpg?s=1024x768,"32-34 Tran Phu, Loc Tho, Nha Trang, Khanh Hoa, Loc Tho, Nha Trang, Vietnam, 650000",9.0,936470,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang4,Nha Trang,Muong Thanh Luxury Nha Trang Hotel,https://www.agoda.com/muong-thanh-luxury-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/766/766807/766807_15072709410033061372.jpg?s=1024x768,"60 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.4,1558442,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
NhaTrang6,Nha Trang,Melissa Hotel,https://www.agoda.com/melissa-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix6.agoda.net/hotelImages/2818283/-1/0d4f3e70634dcb4d1b23f6ad82fee8ab.jpg?s=1024x768,"100A2-100A3 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.1,981818,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NhaTrang7,Nha Trang,Atlantic Nha Trang Hotel,https://www.agoda.com/atlantic-nha-trang-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/6383505/-1/d04104097bf85918a2aa6399e11d1e51.jpg?s=1024x768,"17/11A Nguyen Thi Minh Khai Street, Loc Tho, Nha Trang, Vietnam",8.7,658009,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NhaTrang8,Nha Trang,Le's Cham Hotel,https://www.agoda.com/le-s-cham-hotel_2/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/6845017/-1/3e1fa6a0f582c12af957c09ff9dc8710.jpg?s=1024x768,"87 Bach Dang Street, Tan Lap, Nha Trang, Vietnam",9.3,573506,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
NhaTrang9,Nha Trang,Sunny Hotel Nha Trang,https://www.agoda.com/sunny-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix6.agoda.net/hotelImages/168940/-1/973222cb6f20c06106f4dacebfa3a4d0.jpg?s=1024x768,"96/2 Tran Phu Street, Loc Tho, Nha Trang, Vietnam",8.3,743833,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang10,Nha Trang,Asia Paradise Hotel Nha Trang,https://www.agoda.com/asia-paradise-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=9,https://pix5.agoda.net/hotelImages/752/75222/75222_16111017090048615323.jpg?s=1024x768,"06 Biet Thu Street, Loc Tho, Nha Trang, Vietnam",7.7,847030,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
NhaTrang11,Nha Trang,Nha Trang Palace Hotel,https://www.agoda.com/nha-trang-palace-hotel/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1,https://pix5.agoda.net/hotelImages/706/706033/706033_15012009550024700037.jpg?s=1024x768,"09 Yersin Street, Loc Tho Ward, Loc Tho, Nha Trang, Vietnam",8.1,715940,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NhaTrang12,Nha Trang,Nagar Hotel Nha Trang,https://www.agoda.com/nagar-hotel-nha-trang/hotel/nha-trang-vn.html?checkin=2019-09-21&los=1&adults=2&rooms=1&cid=-1&searchrequestid=12f5d032-3374-48ac-bbaa-60bff7908852&travellerType=1&tspTypes=8,https://pix6.agoda.net/hotelImages/4899168/-1/5c514e56f75f17efbfeab8bae60a955b.jpg?s=1024x768,"1I Quan Tran, Hung Vuong Street, Loc Tho, Nha Trang, Vietnam",8.9,1319481,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
